[Measurement for 1mb at 01:04:45 17.04.2014] 
Tshark:

  1   0.000000 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
  2   0.000254 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
244   2.736371 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
245   2.736413 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
246   2.736470  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=224001 Win=376576 Len=0
247   2.736539 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
248   2.736572 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
249   2.736603  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=226801 Win=376576 Len=0
250   2.736665 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
251   2.736698 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
252   2.736729  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=229601 Win=376576 Len=0
253   2.736791 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
254   2.736823 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
255   2.736862  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=232401 Win=376576 Len=0
256   2.736922 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
257   2.736956 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
258   2.736986  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=235201 Win=376576 Len=0
259   2.737046 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
260   2.737272 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
261   2.737315  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=238001 Win=376576 Len=0
262   2.739423 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
263   2.739470 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
264   2.739510  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=240801 Win=376576 Len=0
265   2.739600 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
266   2.739669 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
267   2.739722  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=243601 Win=376576 Len=0
268   2.739843 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
269   2.745344 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
270   2.745393  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=246401 Win=376576 Len=0
271   2.745483 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
272   2.745517 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
273   2.745548  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=249201 Win=376576 Len=0
274   2.752998 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
275   2.753041 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
276   2.753077  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=252001 Win=376576 Len=0
277   2.753150 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
278   2.753211 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
279   2.753263  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=254801 Win=376576 Len=0
280   2.753334 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
281   2.753368 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
282   2.753438  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=257601 Win=376576 Len=0
283   2.753524 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
284   2.753559 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
285   2.753592  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=260401 Win=376576 Len=0
286   2.753655 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
287   2.753716 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
288   2.753772  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=263201 Win=419840 Len=0
289   2.753851 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
290   2.753993 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
291   2.754058  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=266001 Win=419840 Len=0
292   2.754145 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
293   2.754182 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
294   2.754214  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=268801 Win=419840 Len=0
295   2.754302 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
296   2.754387 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
297   2.754437  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=271601 Win=419840 Len=0
298   2.754549 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
299   2.754606 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
300   2.754666  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=274401 Win=419840 Len=0
301   2.754784 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
302   2.754851 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
303   2.754922  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=277201 Win=419840 Len=0
304   2.755039 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
305   2.755120 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
306   2.755201  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=280001 Win=419840 Len=0
307   2.755933 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
308   2.775152 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
309   2.775213  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=282801 Win=419840 Len=0
310   2.782728 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
311   2.782775 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
312   2.782812  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=285601 Win=419840 Len=0
313   2.782878 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
314   2.782913 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
315   2.782945  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=288401 Win=419840 Len=0
316   2.783006 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
317   2.783040 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
318   2.783070  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=291201 Win=419840 Len=0
319   2.783131 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
320   2.783198 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
321   2.783236  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=294001 Win=419840 Len=0
322   2.783297 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
323   2.783332 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
324   2.783363  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=296801 Win=419840 Len=0
325   2.783425 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
326   2.783563 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
327   2.783605  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=299601 Win=419840 Len=0
328   2.783669 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
329   2.783703 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
330   2.783734  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=302401 Win=419840 Len=0
331   2.783795 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
332   2.783829 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
333   2.783860  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=305201 Win=419840 Len=0
334   2.783932 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
335   2.783966 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
336   2.783997  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=308001 Win=419840 Len=0
337   2.784059 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
338   2.784093 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
339   2.784123  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=310801 Win=419840 Len=0
340   2.784195 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
341   2.784230 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
342   2.784261  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=313601 Win=419840 Len=0
343   2.784382 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
344   2.784420 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
345   2.784453  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=316401 Win=419840 Len=0
346   2.784540 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
347   2.784582 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
348   2.784619  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=319201 Win=419840 Len=0
349   2.784718 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
350   2.790342 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
351   2.790410  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=322001 Win=464640 Len=0
352   2.790499 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
353   2.790543 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
354   2.790623  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=324801 Win=464640 Len=0
355   2.790699 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
356   2.790740 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
357   2.790778  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=327601 Win=464640 Len=0
358   2.790852 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
359   2.790922 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
360   2.790959  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=330401 Win=464640 Len=0
361   2.791031 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
362   2.791072 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
363   2.791109  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=333201 Win=464640 Len=0
364   2.791183 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
365   2.791239 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
366   2.791293  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=336001 Win=464640 Len=0
367   2.791591 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
368   2.791640 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
369   2.791680  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=338801 Win=464640 Len=0
370   2.791759 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
371   2.791834 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
372   2.791873  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=341601 Win=464640 Len=0
373   2.791946 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
374   2.791987 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
375   2.792025  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=344401 Win=464640 Len=0
376   2.792099 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
377   2.792164 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
378   2.792204  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=347201 Win=464640 Len=0
379   2.792277 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
380   2.792319 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
381   2.792357  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=350001 Win=464640 Len=0
382   2.792431 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
383   2.792620 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
384   2.792671  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=352801 Win=464640 Len=0
385   2.792773 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
386   2.792814 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
387   2.792895  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=355601 Win=464640 Len=0
388   2.792991 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
389   2.793031 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
390   2.793068  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=358401 Win=464640 Len=0
391   2.793164 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
392   2.793237 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
393   2.793276  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=361201 Win=464640 Len=0
394   2.793373 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
395   2.793413 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
396   2.793451  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=364001 Win=464640 Len=0
397   2.793547 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
398   2.802642 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
399   2.802723  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=366801 Win=464640 Len=0
400   2.802844 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
401   2.802884 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
402   2.802934  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=369601 Win=464640 Len=0
403   2.803021 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
404   2.804777 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
405   2.804840  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=372401 Win=464640 Len=0
406   2.804936 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
407   2.845046 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
408   2.845161  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=375201 Win=506624 Len=0
409   2.845275 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
410   2.845311 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
411   2.845385  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=378001 Win=506624 Len=0
412   2.845466 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
413   2.845513 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
414   2.845562  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=380801 Win=506624 Len=0
415   2.845646 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
416   2.845702 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
417   2.845755  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=383601 Win=506624 Len=0
418   2.845826 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
419   2.845862 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
420   2.845937  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=386401 Win=506624 Len=0
421   2.846025 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
422   2.846062 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
423   2.846095  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=389201 Win=506624 Len=0
424   2.846269 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
425   2.846326 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
426   2.846381  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=392001 Win=506624 Len=0
427   2.846455 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
428   2.846490 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
429   2.846563  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=394801 Win=506624 Len=0
430   2.846650 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
431   2.846686 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
432   2.846718  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=397601 Win=506624 Len=0
433   2.846780 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
434   2.846893 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
435   2.846953  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=400401 Win=506624 Len=0
436   2.847047 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
437   2.847091 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
438   2.847184  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=403201 Win=506624 Len=0
439   2.847335 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
440   2.847714 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
441   2.847767  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=406001 Win=506624 Len=0
442   2.847866 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
443   2.847923 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
444   2.847988  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=408801 Win=506624 Len=0
445   2.848103 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
446   2.870202 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
447   2.870271  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=411601 Win=541696 Len=0
448   2.871984 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
449   2.872036 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
450   2.872080  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=414401 Win=541696 Len=0
451   2.872170 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
452   2.872205 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
453   2.872236  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=417201 Win=541696 Len=0
454   2.872343 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
455   2.877407 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
456   2.877463  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=420001 Win=541696 Len=0
457   2.882773 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
458   2.882820 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
459   2.882859  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=422801 Win=565504 Len=0
460   2.882926 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
461   2.882983 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
462   2.883030  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=425601 Win=565504 Len=0
463   2.883116 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
464   2.883168 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
465   2.883217  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=428401 Win=565504 Len=0
466   2.883332 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
467   2.883383 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
468   2.883434  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=431201 Win=565504 Len=0
469   2.883505 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
470   2.883541 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
471   2.883613  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=434001 Win=565504 Len=0
472   2.883701 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
473   2.883854 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
474   2.883897  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=436801 Win=565504 Len=0
475   2.883960 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
476   2.884007 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
477   2.884056  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=439601 Win=565504 Len=0
478   2.884136 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
479   2.884171 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
480   2.884252  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=442401 Win=565504 Len=0
481   2.884338 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
482   2.884374 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
483   2.884405  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=445201 Win=565504 Len=0
484   2.884467 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
485   2.884524 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
486   2.884584  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=448001 Win=565504 Len=0
487   2.884672 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
488   2.884714 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
489   2.884780  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=450801 Win=565504 Len=0
490   2.884962 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
491   2.885009 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
